cell_id,green_200m,open_200m,commercial_200m,industrial_200m,residential_200m,highway_200m,majroad_200m,road_200m,busroutes_200m,rail_200m,npri_pm_200m,npri_nox_200m,busstop_200m,green_500m,open_500m,commercial_500m,industrial_500m,residential_500m,highway_500m,majroad_500m,road_500m,busroutes_500m,rail_500m,npri_pm_500m,npri_nox_500m,busstop_500m,distance_shore,distance_airport,distance_port,distance_trxstn,distance_npri_pm,distance_npri_nox,lon,lat
49,0,0,0,174172.8628913893,0,0,0,0,108.0413431928126,0,0,0,0,0,0,0,292286.2058550089,0,0,0,0,1734.9395213627108,0,0,0,6,17595.836667753683,2276.7743331428064,24768.94916651689,6357.1448632452375,8597.277006834152,10605.601408139211,-79.34125802204132,43.860326437459186
50,0,0,0,1270.865532398224,0,0,0,0,1025.6373792690947,0,0,0,4,0,0,0,104075.27070034236,0,0,0,0,1947.3461496338944,0,0,0,7,17243.159212814702,2776.7736561689326,24776.78265077112,6341.70995017206,8169.123565941321,10335.166614587217,-79.3350387987977,43.86023597394273
51,0,0,0,0,0,0,0,0,575.41558037216,0,0,0,4,0,0,0,0,0,0,0,0,2451.744892020386,0,0,0,12,16897.91736394365,3276.7731857933195,24794.698510641523,6365.632676485292,7749.579842738901,10082.289257615204,-79.32881960463317,43.86014517212428
52,0,0,0,0,0,0,0,0,590.8470843437458,0,0,0,4,0,0,0,0,0,0,0,0,902.46896047366,771.8648601638484,0,0,5,16560.54944884482,3776.7728399615985,24822.674915159005,6428.473664235003,7340.122317942566,9848.321907674044,-79.3226004396561,43.86005403200814
53,0,0,0,0,0,0,0,0,0,906.3781678375278,0,0,0,0,0,0,0,0,0,0,0,685.3873186204761,1770.8000432975243,0,0,4,16231.234771091042,4276.772574992836,24860.67790012413,6529.109275512946,6942.535815228413,9634.642293314271,-79.31638130397491,43.85996255359862
54,0,0,0,0,0,0,0,0,0,921.0520109588144,0,0,0,0,0,0,0,0,0,0,0,0,1961.4767441010288,0,0,0,15910.414765363488,4776.772365494336,24908.661573111,6665.8279464306315,6558.979451797374,9442.627803904368,-79.31016219769793,43.85987073690009
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709.390602099133,0,0,0,15598.49254862805,5276.772195697632,24966.568388023046,6836.465204419685,6192.060993923866,9273.62429506486,-79.30394312093354,43.859778581916885
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15291.707397202945,5776.772055293795,25034.32948540635,7038.554593882582,5844.914649149919,9128.90986311985,-79.29772407379012,43.85968608865339
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876.4115662946015,0,0,0,3,14975.190355062872,6276.7719372590645,25111.865093894205,7269.473505756255,5521.271154292131,9009.654988506209,-79.29150505637601,43.85959325711398
58,0,0,0,0,0,0,0,0,1373.09657752483,0,0,0,2,0,0,0,0,0,0,0,0,2288.7906920418236,0,0,0,4,14668.89011544736,6776.771836641661,25199.084987435486,7526.568894969142,5225.499312275431,8916.88122242657,-79.28528606879958,43.85950008730307
59,0,0,0,0,0,0,0,0,1391.3048567845533,0,0,0,2,0,0,0,0,0,0,0,0,2319.5134193804365,815.5372865512358,0,0,4,14373.459857242531,7276.77174985191,25295.888992365057,7576.207064929495,4962.585109190687,8851.421267672851,-79.27906711116917,43.859406579225066
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85426.85435849056,0,0,0,0,1045.6654386122898,1270.9942764948692,0,0,0,14089.08595418404,7776.77167422163,25402.16753791116,7387.233174194839,4738.001569157052,8813.883717224786,-79.27284818359315,43.85931273288443
61,0,0,0,54752.50399314379,0,0,0,0,0,686.7063971175239,0,0,0,0,0,0,254119.02047119476,0,0,0,0,0,1422.323113230328,0,0,0,13808.74795325503,8276.771607729659,25517.80224341758,7227.967518546159,4557.418871763439,8804.625710597164,-79.26662928617986,43.859218548285575
62,0,0,0,89277.33118079323,0,0,0,0,1117.2716637859526,843.995461122473,0,0,4,0,0,0,247488.40481307823,0,0,0,0,2062.83687341461,1455.2622072257325,0,0,6,13539.930787592668,8776.771548813049,25642.666535370692,7100.409490190999,4426.225782320436,8823.736262301647,-79.26041041903764,43.859124025433005
63,0,0,0,16287.739441541722,0,0,0,0,1185.229864193972,476.94962004212266,0,0,4,0,0,0,111523.77305686964,0,0,0,0,2110.6435676442757,1328.2761678495713,0,0,6,13152.337386610336,9276.771496247862,25776.62628728358,7006.291130664571,4348.8944088641565,8871.032034076192,-79.25419158227484,43.859029164331176
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241.0370606332613,940.63988100683,0,0,6,12738.147141460471,9776.771449058657,25919.54047556263,6946.971706208742,4328.3126600122205,8946.066010965578,-79.24797277599981,43.858933964984594
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12329.66473452883,10276.771406461943,26071.26184469003,6923.345749426339,4365.283311102993,9048.148141774833,-79.24175400032087,43.85883842739781
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11924.320727920976,10776.771367817557,26231.63757534871,6935.778027397872,4458.374848480834,9176.37578341537,-79.23553525534632,43.8587425515753
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.1575172638014,0,0,0,11521.788292842875,11276.77133259949,26400.509949515967,6984.075982158943,4604.18442212482,9329.67096104665,-79.22931654118456,43.85864633752164
68,0,0,0,0,0,0,0,0,0,670.981704415899,0,0,0,0,0,0,0,0,0,0,0,0,1459.3745661858056,0,0,0,11127.164333640225,11776.771300373006,26577.71700700717,7067.504354707243,4797.908095859162,9506.821128239942,-79.22309785794386,43.85854978524139
